Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Jake Fraser-McGurk,Delhi Capitals Innings,0,5,0,0.00,,Chennai Super Kings Squad,Balanced
Rahul (wk),Delhi Capitals Innings,77,51,3,150.98,,Chennai Super Kings Squad,Balanced
Abishek Porel,Delhi Capitals Innings,33,20,1,165.00,,Chennai Super Kings Squad,Balanced
Axar (c),Delhi Capitals Innings,21,14,1,150.00,,Chennai Super Kings Squad,Balanced
Sameer Rizvi,Delhi Capitals Innings,20,15,1,133.33,,Chennai Super Kings Squad,Balanced
Stubbs,Delhi Capitals Innings,24,12,1,200.00,,Chennai Super Kings Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,1,1,0,100.00,,Chennai Super Kings Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,1,2,0,50.00,,Chennai Super Kings Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,3,6,0,50.00,,Chennai Super Kings Squad,Balanced
Devon Conway,Chennai Super Kings Innings,13,14,0,92.86,,Chennai Super Kings Squad,Balanced
Ruturaj Gaikwad (c),Chennai Super Kings Innings,5,4,0,125.00,,Chennai Super Kings Squad,Balanced
Vijay Shankar,Chennai Super Kings Innings,69,54,1,127.78,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,18,15,1,120.00,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,2,3,0,66.67,,Chennai Super Kings Squad,Balanced
MS Dhoni (wk),Chennai Super Kings Innings,30,26,1,115.38,,Chennai Super Kings Squad,Balanced
