Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Rachin Ravindra,Chennai Super Kings Innings,4,9,0,44.44,,Chennai Super Kings Squad,Balanced
Conway,Chennai Super Kings Innings,12,11,0,109.09,,Chennai Super Kings Squad,Balanced
Tripathi,Chennai Super Kings Innings,16,22,0,72.73,,Chennai Super Kings Squad,Balanced
Vijay Shankar,Chennai Super Kings Innings,29,21,1,138.10,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,31,29,0,106.90,,Chennai Super Kings Squad,Balanced
Ashwin,Chennai Super Kings Innings,1,7,0,14.29,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,0,2,0,0.00,,Chennai Super Kings Squad,Balanced
Deepak Hooda,Chennai Super Kings Innings,0,4,0,0.00,,Chennai Super Kings Squad,Balanced
Dhoni (c & wk),Chennai Super Kings Innings,1,4,0,25.00,,Chennai Super Kings Squad,Balanced
Noor Ahmad,Chennai Super Kings Innings,1,8,0,12.50,,Chennai Super Kings Squad,Balanced
Anshul Kamboj,Chennai Super Kings Innings,3,3,0,100.00,,Chennai Super Kings Squad,Balanced
Quinton de Kock (wk),Kolkata Knight Riders Innings,23,16,3,143.75,,Chennai Super Kings Squad,Balanced
Sunil Narine,Kolkata Knight Riders Innings,44,18,5,244.44,,Chennai Super Kings Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,20,17,1,117.65,,Chennai Super Kings Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,15,12,1,125.00,,Chennai Super Kings Squad,Balanced
