Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Rohit,Mumbai Indians Innings,0,4,0,0.00,,Chennai Super Kings Squad,Balanced
Rickelton (wk),Mumbai Indians Innings,13,7,0,185.71,,Chennai Super Kings Squad,Balanced
Will Jacks,Mumbai Indians Innings,11,7,0,157.14,,Chennai Super Kings Squad,Balanced
Suryakumar Yadav (c),Mumbai Indians Innings,29,26,1,111.54,,Chennai Super Kings Squad,Balanced
Tilak Varma,Mumbai Indians Innings,31,25,2,124.00,,Chennai Super Kings Squad,Balanced
Robin Minz,Mumbai Indians Innings,3,9,0,33.33,,Chennai Super Kings Squad,Balanced
Naman Dhir,Mumbai Indians Innings,17,12,0,141.67,,Chennai Super Kings Squad,Balanced
Santner,Mumbai Indians Innings,11,13,0,84.62,,Chennai Super Kings Squad,Balanced
D Chahar,Mumbai Indians Innings,28,15,2,186.67,,Chennai Super Kings Squad,Balanced
Boult,Mumbai Indians Innings,1,2,0,50.00,,Chennai Super Kings Squad,Balanced
Satyanarayana Raju,Mumbai Indians Innings,1,1,0,100.00,,Chennai Super Kings Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,65,45,4,144.44,,Chennai Super Kings Squad,Balanced
Rahul Tripathi,Chennai Super Kings Innings,2,3,0,66.67,,Chennai Super Kings Squad,Balanced
Ruturaj Gaikwad (c),Chennai Super Kings Innings,53,26,3,203.85,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,9,7,1,128.57,,Chennai Super Kings Squad,Balanced
Deepak Hooda,Chennai Super Kings Innings,3,5,0,60.00,,Chennai Super Kings Squad,Balanced
Sam Curran,Chennai Super Kings Innings,4,9,0,44.44,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,17,18,0,94.44,,Chennai Super Kings Squad,Balanced
MS Dhoni (wk),Chennai Super Kings Innings,0,2,0,0.00,,Chennai Super Kings Squad,Balanced
