Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Shaik Rasheed,Chennai Super Kings Innings,11,12,1,91.67,,Chennai Super Kings Squad,Balanced
Ayush Mhatre,Chennai Super Kings Innings,7,6,0,116.67,,Chennai Super Kings Squad,Balanced
Sam Curran,Chennai Super Kings Innings,88,47,4,187.23,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,17,12,0,141.67,,Chennai Super Kings Squad,Balanced
Dewald Brevis,Chennai Super Kings Innings,32,26,1,123.08,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,6,6,0,100.00,,Chennai Super Kings Squad,Balanced
Dhoni (c & wk),Chennai Super Kings Innings,11,4,1,275.00,,Chennai Super Kings Squad,Balanced
Deepak Hooda,Chennai Super Kings Innings,2,2,0,100.00,,Chennai Super Kings Squad,Balanced
Anshul Kamboj,Chennai Super Kings Innings,0,1,0,0.00,,Chennai Super Kings Squad,Balanced
Noor Ahmad,Chennai Super Kings Innings,0,1,0,0.00,,Chennai Super Kings Squad,Balanced
Khaleel Ahmed,Chennai Super Kings Innings,0,0,0,0.00,,Chennai Super Kings Squad,Balanced
Priyansh Arya,Punjab Kings Innings,23,15,0,153.33,,Chennai Super Kings Squad,Balanced
Prabhsimran Singh,Punjab Kings Innings,54,36,3,150.00,,Chennai Super Kings Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,72,41,4,175.61,,Chennai Super Kings Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,5,3,0,166.67,,Chennai Super Kings Squad,Balanced
Shashank Singh,Punjab Kings Innings,23,12,2,191.67,,Chennai Super Kings Squad,Balanced
Josh Inglis (wk),Punjab Kings Innings,6,6,0,100.00,,Chennai Super Kings Squad,Balanced
Suryansh Shedge,Punjab Kings Innings,1,3,0,33.33,,Chennai Super Kings Squad,Balanced
Marco Jansen,Punjab Kings Innings,4,2,0,200.00,,Chennai Super Kings Squad,Balanced
