Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,32,16,1,200.00,,Chennai Super Kings Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,31,30,1,103.33,,Chennai Super Kings Squad,Balanced
Padikkal,Royal Challengers Bengaluru Innings,27,14,2,192.86,,Chennai Super Kings Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,51,32,3,159.38,,Chennai Super Kings Squad,Balanced
Livingstone,Royal Challengers Bengaluru Innings,10,9,1,111.11,,Chennai Super Kings Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,12,6,1,200.00,,Chennai Super Kings Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,22,8,3,275.00,,Chennai Super Kings Squad,Balanced
Krunal Pandya,Royal Challengers Bengaluru Innings,0,3,0,0.00,,Chennai Super Kings Squad,Balanced
Bhuvneshwar,Royal Challengers Bengaluru Innings,0,2,0,0.00,,Chennai Super Kings Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,41,31,0,132.26,,Chennai Super Kings Squad,Balanced
Rahul Tripathi,Chennai Super Kings Innings,5,3,0,166.67,,Chennai Super Kings Squad,Balanced
Ruturaj Gaikwad (c),Chennai Super Kings Innings,0,4,0,0.00,,Chennai Super Kings Squad,Balanced
Deepak Hooda,Chennai Super Kings Innings,4,9,0,44.44,,Chennai Super Kings Squad,Balanced
Sam Curran,Chennai Super Kings Innings,8,13,0,61.54,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,19,15,1,126.67,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,25,19,1,131.58,,Chennai Super Kings Squad,Balanced
Ravichandran Ashwin,Chennai Super Kings Innings,11,8,0,137.50,,Chennai Super Kings Squad,Balanced
MS Dhoni (wk),Chennai Super Kings Innings,30,16,2,187.50,,Chennai Super Kings Squad,Balanced
Noor Ahmad,Chennai Super Kings Innings,0,2,0,0.00,,Chennai Super Kings Squad,Balanced
