Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Shaik Rasheed,Chennai Super Kings Innings,0,1,0,0.00,,Chennai Super Kings Squad,Balanced
Ayush Mhatre,Chennai Super Kings Innings,30,19,0,157.89,,Chennai Super Kings Squad,Balanced
Sam Curran,Chennai Super Kings Innings,9,10,0,90.00,,Chennai Super Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,21,17,1,123.53,,Chennai Super Kings Squad,Balanced
Dewald Brevis,Chennai Super Kings Innings,42,25,4,168.00,,Chennai Super Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,12,9,0,133.33,,Chennai Super Kings Squad,Balanced
Deepak Hooda,Chennai Super Kings Innings,22,21,1,104.76,,Chennai Super Kings Squad,Balanced
Dhoni (c & wk),Chennai Super Kings Innings,6,10,0,60.00,,Chennai Super Kings Squad,Balanced
Anshul Kamboj,Chennai Super Kings Innings,2,4,0,50.00,,Chennai Super Kings Squad,Balanced
Noor Ahmad,Chennai Super Kings Innings,2,3,0,66.67,,Chennai Super Kings Squad,Balanced
Khaleel Ahmed,Chennai Super Kings Innings,1,2,0,50.00,,Chennai Super Kings Squad,Balanced
Abhishek Sharma,Sunrisers Hyderabad Innings,0,2,0,0.00,,Chennai Super Kings Squad,Balanced
Travis Head,Sunrisers Hyderabad Innings,19,16,0,118.75,,Chennai Super Kings Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,44,34,1,129.41,,Chennai Super Kings Squad,Balanced
Heinrich Klaasen (wk),Sunrisers Hyderabad Innings,7,8,0,87.50,,Chennai Super Kings Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,19,19,2,100.00,,Chennai Super Kings Squad,Balanced
Kamindu Mendis,Sunrisers Hyderabad Innings,32,22,0,145.45,,Chennai Super Kings Squad,Balanced
Nitish Kumar Reddy,Sunrisers Hyderabad Innings,19,13,0,146.15,,Chennai Super Kings Squad,Balanced
