Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Gurbaz (wk),Kolkata Knight Riders Innings,26,12,1,216.67,,Delhi Capitals Squad,Balanced
Narine,Kolkata Knight Riders Innings,27,16,2,168.75,,Delhi Capitals Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,26,14,1,185.71,,Delhi Capitals Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,44,32,2,137.50,,Delhi Capitals Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,7,5,0,140.00,,Delhi Capitals Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,36,25,1,144.00,,Delhi Capitals Squad,Balanced
Russell,Kolkata Knight Riders Innings,17,9,1,188.89,,Delhi Capitals Squad,Balanced
Rovman Powell,Kolkata Knight Riders Innings,5,5,0,100.00,,Delhi Capitals Squad,Balanced
Anukul Roy,Kolkata Knight Riders Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
Varun Chakaravarthy,Kolkata Knight Riders Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Abishek Porel (wk),Delhi Capitals Innings,4,2,0,200.00,,Delhi Capitals Squad,Balanced
Faf du Plessis,Delhi Capitals Innings,62,45,2,137.78,,Delhi Capitals Squad,Balanced
Karun Nair,Delhi Capitals Innings,15,13,0,115.38,,Delhi Capitals Squad,Balanced
KL Rahul,Delhi Capitals Innings,7,5,0,140.00,,Delhi Capitals Squad,Balanced
Axar Patel (c),Delhi Capitals Innings,43,23,3,186.96,,Delhi Capitals Squad,Balanced
Tristan Stubbs,Delhi Capitals Innings,1,3,0,33.33,,Delhi Capitals Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,38,19,2,200.00,,Delhi Capitals Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,7,6,1,116.67,,Delhi Capitals Squad,Balanced
Mitchell Starc,Delhi Capitals Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
Dushmantha Chameera,Delhi Capitals Innings,2,3,0,66.67,,Delhi Capitals Squad,Balanced
Kuldeep Yadav,Delhi Capitals Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
