Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Markram,Lucknow Super Giants Innings,15,13,1,115.38,,Delhi Capitals Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,72,36,6,200.00,,Delhi Capitals Squad,Balanced
Pooran,Lucknow Super Giants Innings,75,30,7,250.00,,Delhi Capitals Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,0,6,0,0.00,,Delhi Capitals Squad,Balanced
David Miller,Lucknow Super Giants Innings,27,19,2,142.11,,Delhi Capitals Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,4,5,0,80.00,,Delhi Capitals Squad,Balanced
Thakur,Lucknow Super Giants Innings,0,2,0,0.00,,Delhi Capitals Squad,Balanced
Shahbaz Ahmed,Lucknow Super Giants Innings,9,8,0,112.50,,Delhi Capitals Squad,Balanced
Ravi Bishnoi,Lucknow Super Giants Innings,0,2,0,0.00,,Delhi Capitals Squad,Balanced
Digvesh Rathi,Lucknow Super Giants Innings,0,0,0,0.00,,Delhi Capitals Squad,Balanced
Jake Fraser-McGurk,Delhi Capitals Innings,1,2,0,50.00,,Delhi Capitals Squad,Balanced
Faf du Plessis,Delhi Capitals Innings,29,18,2,161.11,,Delhi Capitals Squad,Balanced
Abishek Porel (wk),Delhi Capitals Innings,0,2,0,0.00,,Delhi Capitals Squad,Balanced
Sameer Rizvi,Delhi Capitals Innings,4,4,0,100.00,,Delhi Capitals Squad,Balanced
Axar Patel (c),Delhi Capitals Innings,22,11,1,200.00,,Delhi Capitals Squad,Balanced
Tristan Stubbs,Delhi Capitals Innings,34,22,3,154.55,,Delhi Capitals Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,66,31,5,212.90,,Delhi Capitals Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,39,15,2,260.00,,Delhi Capitals Squad,Balanced
Mitchell Starc,Delhi Capitals Innings,2,5,0,40.00,,Delhi Capitals Squad,Balanced
Kuldeep Yadav,Delhi Capitals Innings,5,5,0,100.00,,Delhi Capitals Squad,Balanced
Mohit Sharma,Delhi Capitals Innings,1,2,0,50.00,,Delhi Capitals Squad,Balanced
