Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Rohit,Mumbai Indians Innings,18,12,1,150.00,,Delhi Capitals Squad,Balanced
Rickelton (wk),Mumbai Indians Innings,41,25,2,164.00,,Delhi Capitals Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,40,28,2,142.86,,Delhi Capitals Squad,Balanced
Tilak Varma,Mumbai Indians Innings,59,33,3,178.79,,Delhi Capitals Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,2,4,0,50.00,,Delhi Capitals Squad,Balanced
Naman Dhir,Mumbai Indians Innings,38,17,2,223.53,,Delhi Capitals Squad,Balanced
Will Jacks,Mumbai Indians Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Jake Fraser-McGurk,Delhi Capitals Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
Abishek Porel,Delhi Capitals Innings,33,25,1,132.00,,Delhi Capitals Squad,Balanced
Karun Nair,Delhi Capitals Innings,89,40,5,222.50,,Delhi Capitals Squad,Balanced
KL Rahul (wk),Delhi Capitals Innings,15,13,0,115.38,,Delhi Capitals Squad,Balanced
Axar Patel (c),Delhi Capitals Innings,9,6,0,150.00,,Delhi Capitals Squad,Balanced
Tristan Stubbs,Delhi Capitals Innings,1,4,0,25.00,,Delhi Capitals Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,17,14,0,121.43,,Delhi Capitals Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,14,8,1,175.00,,Delhi Capitals Squad,Balanced
Mitchell Starc,Delhi Capitals Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Kuldeep Yadav,Delhi Capitals Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Mohit Sharma,Delhi Capitals Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
