Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abishek Porel,Delhi Capitals Innings,28,11,2,254.55,,Delhi Capitals Squad,Balanced
du Plessis,Delhi Capitals Innings,22,26,0,84.62,,Delhi Capitals Squad,Balanced
Karun Nair,Delhi Capitals Innings,4,4,0,100.00,,Delhi Capitals Squad,Balanced
Rahul (wk),Delhi Capitals Innings,41,39,0,105.13,,Delhi Capitals Squad,Balanced
Axar (c),Delhi Capitals Innings,15,13,1,115.38,,Delhi Capitals Squad,Balanced
Stubbs,Delhi Capitals Innings,34,18,1,188.89,,Delhi Capitals Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,2,3,0,66.67,,Delhi Capitals Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,12,6,1,200.00,,Delhi Capitals Squad,Balanced
Mitchell Starc,Delhi Capitals Innings,0,0,0,0.00,,Delhi Capitals Squad,Balanced
Chameera,Delhi Capitals Innings,0,1,0,0.00,,Delhi Capitals Squad,Balanced
Jacob Bethell,Royal Challengers Bengaluru Innings,12,6,1,200.00,,Delhi Capitals Squad,Balanced
Virat Kohli,Royal Challengers Bengaluru Innings,51,47,0,108.51,,Delhi Capitals Squad,Balanced
Devdutt Padikkal,Royal Challengers Bengaluru Innings,0,2,0,0.00,,Delhi Capitals Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,6,6,0,100.00,,Delhi Capitals Squad,Balanced
Krunal Pandya,Royal Challengers Bengaluru Innings,73,47,4,155.32,,Delhi Capitals Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,19,5,1,380.00,,Delhi Capitals Squad,Balanced
