Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Jake Fraser-McGurk,Delhi Capitals Innings,9,6,0,150.00,,Delhi Capitals Squad,Balanced
Abishek Porel,Delhi Capitals Innings,49,37,1,132.43,,Delhi Capitals Squad,Balanced
Karun Nair,Delhi Capitals Innings,0,3,0,0.00,,Delhi Capitals Squad,Balanced
Rahul (wk),Delhi Capitals Innings,38,32,2,118.75,,Delhi Capitals Squad,Balanced
Stubbs,Delhi Capitals Innings,34,18,2,188.89,,Delhi Capitals Squad,Balanced
Axar (c),Delhi Capitals Innings,34,14,2,242.86,,Delhi Capitals Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,15,11,0,136.36,,Delhi Capitals Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,51,37,4,137.84,,Delhi Capitals Squad,Balanced
Sanju Samson (c & wk),Rajasthan Royals Innings,31,19,3,163.16,,Delhi Capitals Squad,Balanced
Riyan Parag,Rajasthan Royals Innings,8,11,0,72.73,,Delhi Capitals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,51,28,2,182.14,,Delhi Capitals Squad,Balanced
Dhruv Jurel,Rajasthan Royals Innings,26,17,2,152.94,,Delhi Capitals Squad,Balanced
Shimron Hetmyer,Rajasthan Royals Innings,15,9,0,166.67,,Delhi Capitals Squad,Balanced
