Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abhishek Sharma,Sunrisers Hyderabad Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Head,Sunrisers Hyderabad Innings,22,12,0,183.33,,Delhi Capitals Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,2,5,0,40.00,,Delhi Capitals Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,0,2,0,0.00,,Delhi Capitals Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,74,41,6,180.49,,Delhi Capitals Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,32,19,2,168.42,,Delhi Capitals Squad,Balanced
Abhinav Manohar,Sunrisers Hyderabad Innings,4,6,0,66.67,,Delhi Capitals Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,2,7,0,28.57,,Delhi Capitals Squad,Balanced
Mulder,Sunrisers Hyderabad Innings,9,11,0,81.82,,Delhi Capitals Squad,Balanced
Harshal Patel,Sunrisers Hyderabad Innings,5,9,0,55.56,,Delhi Capitals Squad,Balanced
Shami,Sunrisers Hyderabad Innings,1,1,0,100.00,,Delhi Capitals Squad,Balanced
Jake Fraser-McGurk,Delhi Capitals Innings,38,32,2,118.75,,Delhi Capitals Squad,Balanced
Faf du Plessis,Delhi Capitals Innings,50,27,3,185.19,,Delhi Capitals Squad,Balanced
Abishek Porel,Delhi Capitals Innings,34,18,2,188.89,,Delhi Capitals Squad,Balanced
KL Rahul (wk),Delhi Capitals Innings,15,5,1,300.00,,Delhi Capitals Squad,Balanced
Tristan Stubbs,Delhi Capitals Innings,21,14,0,150.00,,Delhi Capitals Squad,Balanced
