Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abishek Porel,Delhi Capitals Innings,18,9,1,200.00,,Gujar Titans Squad,Balanced
Karun Nair,Delhi Capitals Innings,31,18,2,172.22,,Gujar Titans Squad,Balanced
Rahul (wk),Delhi Capitals Innings,28,14,1,200.00,,Gujar Titans Squad,Balanced
Axar (c),Delhi Capitals Innings,39,32,2,121.88,,Gujar Titans Squad,Balanced
Stubbs,Delhi Capitals Innings,31,21,1,147.62,,Gujar Titans Squad,Balanced
Ashutosh Sharma,Delhi Capitals Innings,37,19,3,194.74,,Gujar Titans Squad,Balanced
Vipraj Nigam,Delhi Capitals Innings,0,1,0,0.00,,Gujar Titans Squad,Balanced
Donovan Ferreira,Delhi Capitals Innings,1,3,0,33.33,,Gujar Titans Squad,Balanced
Mitchell Starc,Delhi Capitals Innings,2,2,0,100.00,,Gujar Titans Squad,Balanced
Kuldeep Yadav,Delhi Capitals Innings,4,1,0,400.00,,Gujar Titans Squad,Balanced
Sai Sudharsan,Gujarat Titans Innings,36,21,1,171.43,,Gujar Titans Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,7,5,0,140.00,,Gujar Titans Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,97,54,4,179.63,,Gujar Titans Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,43,34,3,126.47,,Gujar Titans Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,11,3,1,366.67,,Gujar Titans Squad,Balanced
