Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Sai Sudharsan,Gujarat Titans Innings,63,41,2,153.66,,Gujar Titans Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,38,27,1,140.74,,Gujar Titans Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,39,24,1,162.50,,Gujar Titans Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,9,7,1,128.57,,Gujar Titans Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,18,11,2,163.64,,Gujar Titans Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,0,0,0,0.00,,Gujar Titans Squad,Balanced
Rashid Khan,Gujarat Titans Innings,6,4,1,150.00,,Gujar Titans Squad,Balanced
Rabada,Gujarat Titans Innings,7,5,1,140.00,,Gujar Titans Squad,Balanced
Sai Kishore,Gujarat Titans Innings,1,1,0,100.00,,Gujar Titans Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,8,4,0,200.00,,Gujar Titans Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,6,9,0,66.67,,Gujar Titans Squad,Balanced
Tilak Varma,Mumbai Indians Innings,39,36,1,108.33,,Gujar Titans Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,48,28,4,171.43,,Gujar Titans Squad,Balanced
Robin Minz,Mumbai Indians Innings,3,6,0,50.00,,Gujar Titans Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,11,17,0,64.71,,Gujar Titans Squad,Balanced
Naman Dhir,Mumbai Indians Innings,18,11,0,163.64,,Gujar Titans Squad,Balanced
Mitchell Santner,Mumbai Indians Innings,18,9,2,200.00,,Gujar Titans Squad,Balanced
