Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Priyansh Arya,Punjab Kings Innings,47,23,2,204.35,,Gujar Titans Squad,Balanced
Prabhsimran (wk),Punjab Kings Innings,5,8,0,62.50,,Gujar Titans Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,97,42,9,230.95,,Gujar Titans Squad,Balanced
Azmatullah,Punjab Kings Innings,16,15,1,106.67,,Gujar Titans Squad,Balanced
Maxwell,Punjab Kings Innings,0,1,0,0.00,,Gujar Titans Squad,Balanced
Stoinis,Punjab Kings Innings,20,15,2,133.33,,Gujar Titans Squad,Balanced
Shashank Singh,Punjab Kings Innings,44,16,2,275.00,,Gujar Titans Squad,Balanced
Sai Sudharsan,Gujarat Titans Innings,74,41,6,180.49,,Gujar Titans Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,33,14,3,235.71,,Gujar Titans Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,54,33,2,163.64,,Gujar Titans Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,46,28,3,164.29,,Gujar Titans Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,6,2,1,300.00,,Gujar Titans Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,6,1,1,600.00,,Gujar Titans Squad,Balanced
Arshad Khan,Gujarat Titans Innings,1,1,0,100.00,,Gujar Titans Squad,Balanced
