Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Sai Sudharsan,Gujarat Titans Innings,82,53,3,154.72,,Gujar Titans Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,2,3,0,66.67,,Gujar Titans Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,36,25,0,144.00,,Gujar Titans Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,36,20,2,180.00,,Gujar Titans Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,7,3,1,233.33,,Gujar Titans Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,24,12,2,200.00,,Gujar Titans Squad,Balanced
Rashid Khan,Gujarat Titans Innings,12,4,1,300.00,,Gujar Titans Squad,Balanced
Arshad Khan,Gujarat Titans Innings,0,0,0,0.00,,Gujar Titans Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,6,7,0,85.71,,Gujar Titans Squad,Balanced
Sanju Samson (c & wk),Rajasthan Royals Innings,41,28,2,146.43,,Gujar Titans Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,1,3,0,33.33,,Gujar Titans Squad,Balanced
Riyan Parag,Rajasthan Royals Innings,26,14,3,185.71,,Gujar Titans Squad,Balanced
Dhruv Jurel,Rajasthan Royals Innings,5,4,0,125.00,,Gujar Titans Squad,Balanced
Shimron Hetmyer,Rajasthan Royals Innings,52,32,3,162.50,,Gujar Titans Squad,Balanced
Shubham Dubey,Rajasthan Royals Innings,1,3,0,33.33,,Gujar Titans Squad,Balanced
Jofra Archer,Rajasthan Royals Innings,4,4,0,100.00,,Gujar Titans Squad,Balanced
Maheesh Theekshana,Rajasthan Royals Innings,5,13,0,38.46,,Gujar Titans Squad,Balanced
Tushar Deshpande,Rajasthan Royals Innings,3,3,0,100.00,,Gujar Titans Squad,Balanced
Sandeep Sharma,Rajasthan Royals Innings,6,5,0,120.00,,Gujar Titans Squad,Balanced
