Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Sai Sudharsan,Gujarat Titans Innings,52,36,1,144.44,,Kolka Knight Riders Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,90,55,3,163.64,,Kolka Knight Riders Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,41,23,0,178.26,,Kolka Knight Riders Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,0,2,0,0.00,,Kolka Knight Riders Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,11,5,1,220.00,,Kolka Knight Riders Squad,Balanced
Rahmanullah Gurbaz (wk),Kolkata Knight Riders Innings,1,4,0,25.00,,Kolka Knight Riders Squad,Balanced
Sunil Narine,Kolkata Knight Riders Innings,17,13,1,130.77,,Kolka Knight Riders Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,50,36,1,138.89,,Kolka Knight Riders Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,14,19,0,73.68,,Kolka Knight Riders Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,17,14,1,121.43,,Kolka Knight Riders Squad,Balanced
Andre Russell,Kolkata Knight Riders Innings,21,15,1,140.00,,Kolka Knight Riders Squad,Balanced
Ramandeep Singh,Kolkata Knight Riders Innings,1,2,0,50.00,,Kolka Knight Riders Squad,Balanced
Moeen Ali,Kolkata Knight Riders Innings,0,2,0,0.00,,Kolka Knight Riders Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,27,13,1,207.69,,Kolka Knight Riders Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,1,2,0,50.00,,Kolka Knight Riders Squad,Balanced
