Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Markram,Lucknow Super Giants Innings,47,28,2,167.86,,Kolka Knight Riders Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,81,48,5,168.75,,Kolka Knight Riders Squad,Balanced
Pooran,Lucknow Super Giants Innings,87,36,8,241.67,,Kolka Knight Riders Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,6,4,0,150.00,,Kolka Knight Riders Squad,Balanced
David Miller,Lucknow Super Giants Innings,4,4,0,100.00,,Kolka Knight Riders Squad,Balanced
Quinton de Kock (wk),Kolkata Knight Riders Innings,15,9,2,166.67,,Kolka Knight Riders Squad,Balanced
Sunil Narine,Kolkata Knight Riders Innings,30,13,2,230.77,,Kolka Knight Riders Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,61,35,2,174.29,,Kolka Knight Riders Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,45,29,1,155.17,,Kolka Knight Riders Squad,Balanced
Ramandeep Singh,Kolkata Knight Riders Innings,1,2,0,50.00,,Kolka Knight Riders Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,5,4,0,125.00,,Kolka Knight Riders Squad,Balanced
Andre Russell,Kolkata Knight Riders Innings,7,4,1,175.00,,Kolka Knight Riders Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,38,15,2,253.33,,Kolka Knight Riders Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,10,9,0,111.11,,Kolka Knight Riders Squad,Balanced
