Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
de Kock (wk),Kolkata Knight Riders Innings,4,5,0,80.00,,Kolka Knight Riders Squad,Balanced
Narine,Kolkata Knight Riders Innings,44,26,3,169.23,,Kolka Knight Riders Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,56,31,4,180.65,,Kolka Knight Riders Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,6,7,0,85.71,,Kolka Knight Riders Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,30,22,1,136.36,,Kolka Knight Riders Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,12,10,0,120.00,,Kolka Knight Riders Squad,Balanced
Russell,Kolkata Knight Riders Innings,4,3,0,133.33,,Kolka Knight Riders Squad,Balanced
Ramandeep Singh,Kolkata Knight Riders Innings,6,9,0,66.67,,Kolka Knight Riders Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,5,6,0,83.33,,Kolka Knight Riders Squad,Balanced
Spencer Johnson,Kolkata Knight Riders Innings,1,1,0,100.00,,Kolka Knight Riders Squad,Balanced
Philip Salt,Royal Challengers Bengaluru Innings,56,31,2,180.65,,Kolka Knight Riders Squad,Balanced
Virat Kohli,Royal Challengers Bengaluru Innings,59,36,3,163.89,,Kolka Knight Riders Squad,Balanced
Devdutt Padikkal,Royal Challengers Bengaluru Innings,10,10,0,100.00,,Kolka Knight Riders Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,34,16,1,212.50,,Kolka Knight Riders Squad,Balanced
Liam Livingstone,Royal Challengers Bengaluru Innings,15,5,1,300.00,,Kolka Knight Riders Squad,Balanced
