Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
de Kock (wk),Kolkata Knight Riders Innings,1,6,0,16.67,,Kolka Knight Riders Squad,Balanced
Narine,Kolkata Knight Riders Innings,7,7,1,100.00,,Kolka Knight Riders Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,38,27,4,140.74,,Kolka Knight Riders Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,50,32,2,156.25,,Kolka Knight Riders Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,60,29,3,206.90,,Kolka Knight Riders Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,32,17,1,188.24,,Kolka Knight Riders Squad,Balanced
Russell,Kolkata Knight Riders Innings,1,2,0,50.00,,Kolka Knight Riders Squad,Balanced
Travis Head,Sunrisers Hyderabad Innings,4,2,0,200.00,,Kolka Knight Riders Squad,Balanced
Abhishek Sharma,Sunrisers Hyderabad Innings,2,6,0,33.33,,Kolka Knight Riders Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,2,5,0,40.00,,Kolka Knight Riders Squad,Balanced
Nitish Kumar Reddy,Sunrisers Hyderabad Innings,19,15,1,126.67,,Kolka Knight Riders Squad,Balanced
Kamindu Mendis,Sunrisers Hyderabad Innings,27,20,2,135.00,,Kolka Knight Riders Squad,Balanced
Heinrich Klaasen (wk),Sunrisers Hyderabad Innings,33,21,2,157.14,,Kolka Knight Riders Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,6,6,0,100.00,,Kolka Knight Riders Squad,Balanced
Pat Cummins (c),Sunrisers Hyderabad Innings,14,15,0,93.33,,Kolka Knight Riders Squad,Balanced
Harshal Patel,Sunrisers Hyderabad Innings,3,5,0,60.00,,Kolka Knight Riders Squad,Balanced
Simarjeet Singh,Sunrisers Hyderabad Innings,0,1,0,0.00,,Kolka Knight Riders Squad,Balanced
Mohammed Shami,Sunrisers Hyderabad Innings,2,4,0,50.00,,Kolka Knight Riders Squad,Balanced
