Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Markram,Lucknow Super Giants Innings,6,6,0,100.00,,Lucknow Super Giants Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,30,25,2,120.00,,Lucknow Super Giants Squad,Balanced
Pooran,Lucknow Super Giants Innings,8,9,0,88.89,,Lucknow Super Giants Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,63,49,4,128.57,,Lucknow Super Giants Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,22,17,2,129.41,,Lucknow Super Giants Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,20,11,2,181.82,,Lucknow Super Giants Squad,Balanced
David Miller,Lucknow Super Giants Innings,0,0,0,0.00,,Lucknow Super Giants Squad,Balanced
Thakur,Lucknow Super Giants Innings,6,4,0,150.00,,Lucknow Super Giants Squad,Balanced
Shaik Rasheed,Chennai Super Kings Innings,27,19,0,142.11,,Lucknow Super Giants Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,37,22,0,168.18,,Lucknow Super Giants Squad,Balanced
Rahul Tripathi,Chennai Super Kings Innings,9,10,0,90.00,,Lucknow Super Giants Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,7,11,0,63.64,,Lucknow Super Giants Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,43,37,2,116.22,,Lucknow Super Giants Squad,Balanced
Vijay Shankar,Chennai Super Kings Innings,9,8,0,112.50,,Lucknow Super Giants Squad,Balanced
MS Dhoni (c & wk),Chennai Super Kings Innings,26,11,1,236.36,,Lucknow Super Giants Squad,Balanced
