Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Markram,Lucknow Super Giants Innings,52,33,3,157.58,,Lucknow Super Giants Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,45,36,1,125.00,,Lucknow Super Giants Squad,Balanced
Pooran,Lucknow Super Giants Innings,9,5,0,180.00,,Lucknow Super Giants Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,2,8,0,25.00,,Lucknow Super Giants Squad,Balanced
David Miller,Lucknow Super Giants Innings,14,15,0,93.33,,Lucknow Super Giants Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,36,21,0,171.43,,Lucknow Super Giants Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,0,2,0,0.00,,Lucknow Super Giants Squad,Balanced
Abishek Porel,Delhi Capitals Innings,51,36,1,141.67,,Lucknow Super Giants Squad,Balanced
Karun Nair,Delhi Capitals Innings,15,9,1,166.67,,Lucknow Super Giants Squad,Balanced
KL Rahul (wk),Delhi Capitals Innings,57,42,3,135.71,,Lucknow Super Giants Squad,Balanced
Axar Patel (c),Delhi Capitals Innings,34,20,4,170.00,,Lucknow Super Giants Squad,Balanced
