Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Sai Sudharsan,Gujarat Titans Innings,56,37,1,151.35,,Lucknow Super Giants Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,60,38,1,157.89,,Lucknow Super Giants Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,16,14,0,114.29,,Lucknow Super Giants Squad,Balanced
Washington Sundar,Gujarat Titans Innings,2,3,0,66.67,,Lucknow Super Giants Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,22,19,0,115.79,,Lucknow Super Giants Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,11,6,1,183.33,,Lucknow Super Giants Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,0,1,0,0.00,,Lucknow Super Giants Squad,Balanced
Rashid Khan,Gujarat Titans Innings,4,2,0,200.00,,Lucknow Super Giants Squad,Balanced
Aiden Markram,Lucknow Super Giants Innings,58,31,1,187.10,,Lucknow Super Giants Squad,Balanced
Rishabh Pant (c & wk),Lucknow Super Giants Innings,21,18,0,116.67,,Lucknow Super Giants Squad,Balanced
Nicholas Pooran,Lucknow Super Giants Innings,61,34,7,179.41,,Lucknow Super Giants Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,28,20,1,140.00,,Lucknow Super Giants Squad,Balanced
David Miller,Lucknow Super Giants Innings,7,11,0,63.64,,Lucknow Super Giants Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,2,3,0,66.67,,Lucknow Super Giants Squad,Balanced
