Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Mitchell Marsh,Lucknow Super Giants Innings,60,31,2,193.55,,Lucknow Super Giants Squad,Balanced
Markram,Lucknow Super Giants Innings,53,38,4,139.47,,Lucknow Super Giants Squad,Balanced
Pooran,Lucknow Super Giants Innings,12,6,1,200.00,,Lucknow Super Giants Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,2,6,0,33.33,,Lucknow Super Giants Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,30,19,0,157.89,,Lucknow Super Giants Squad,Balanced
David Miller,Lucknow Super Giants Innings,27,14,1,192.86,,Lucknow Super Giants Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,4,2,0,200.00,,Lucknow Super Giants Squad,Balanced
Thakur,Lucknow Super Giants Innings,5,2,0,250.00,,Lucknow Super Giants Squad,Balanced
Akash Deep,Lucknow Super Giants Innings,0,1,0,0.00,,Lucknow Super Giants Squad,Balanced
Avesh Khan,Lucknow Super Giants Innings,2,1,0,200.00,,Lucknow Super Giants Squad,Balanced
Will Jacks,Mumbai Indians Innings,5,7,0,71.43,,Lucknow Super Giants Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,10,5,0,200.00,,Lucknow Super Giants Squad,Balanced
Naman Dhir,Mumbai Indians Innings,46,24,3,191.67,,Lucknow Super Giants Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,67,43,1,155.81,,Lucknow Super Giants Squad,Balanced
Tilak Varma,Mumbai Indians Innings,25,23,0,108.70,,Lucknow Super Giants Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,28,16,1,175.00,,Lucknow Super Giants Squad,Balanced
Mitchell Santner,Mumbai Indians Innings,2,2,0,100.00,,Lucknow Super Giants Squad,Balanced
