Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Markram,Lucknow Super Giants Innings,28,18,1,155.56,,Lucknow Super Giants Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,0,1,0,0.00,,Lucknow Super Giants Squad,Balanced
Pooran,Lucknow Super Giants Innings,44,30,2,146.67,,Lucknow Super Giants Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,2,5,0,40.00,,Lucknow Super Giants Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,41,33,3,124.24,,Lucknow Super Giants Squad,Balanced
David Miller,Lucknow Super Giants Innings,19,18,0,105.56,,Lucknow Super Giants Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,27,12,2,225.00,,Lucknow Super Giants Squad,Balanced
Thakur,Lucknow Super Giants Innings,3,3,0,100.00,,Lucknow Super Giants Squad,Balanced
Avesh Khan,Lucknow Super Giants Innings,0,0,0,0.00,,Lucknow Super Giants Squad,Balanced
Priyansh Arya,Punjab Kings Innings,8,9,0,88.89,,Lucknow Super Giants Squad,Balanced
Prabhsimran Singh (wk),Punjab Kings Innings,69,34,3,202.94,,Lucknow Super Giants Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,52,30,4,173.33,,Lucknow Super Giants Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,43,25,4,172.00,,Lucknow Super Giants Squad,Balanced
