Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Shaik Rasheed,Chennai Super Kings Innings,19,20,0,95.00,,Mumbai Indians Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,5,9,0,55.56,,Mumbai Indians Squad,Balanced
Ayush Mhatre,Chennai Super Kings Innings,32,15,2,213.33,,Mumbai Indians Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,53,35,2,151.43,,Mumbai Indians Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,50,32,4,156.25,,Mumbai Indians Squad,Balanced
Dhoni (c & wk),Chennai Super Kings Innings,4,6,0,66.67,,Mumbai Indians Squad,Balanced
Jamie Overton,Chennai Super Kings Innings,4,3,0,133.33,,Mumbai Indians Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,24,19,1,126.32,,Mumbai Indians Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,76,45,6,168.89,,Mumbai Indians Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,68,30,5,226.67,,Mumbai Indians Squad,Balanced
