Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
de Kock (wk),Kolkata Knight Riders Innings,1,3,0,33.33,,Mumbai Indians Squad,Balanced
Narine,Kolkata Knight Riders Innings,0,2,0,0.00,,Mumbai Indians Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,11,7,1,157.14,,Mumbai Indians Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,26,16,1,162.50,,Mumbai Indians Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,3,9,0,33.33,,Mumbai Indians Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,17,14,1,121.43,,Mumbai Indians Squad,Balanced
Manish Pandey,Kolkata Knight Riders Innings,19,14,1,135.71,,Mumbai Indians Squad,Balanced
Russell,Kolkata Knight Riders Innings,5,11,0,45.45,,Mumbai Indians Squad,Balanced
Ramandeep Singh,Kolkata Knight Riders Innings,22,12,2,183.33,,Mumbai Indians Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,4,8,0,50.00,,Mumbai Indians Squad,Balanced
Spencer Johnson,Kolkata Knight Riders Innings,1,3,0,33.33,,Mumbai Indians Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,13,12,1,108.33,,Mumbai Indians Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,62,41,5,151.22,,Mumbai Indians Squad,Balanced
Will Jacks,Mumbai Indians Innings,16,17,1,94.12,,Mumbai Indians Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,27,9,2,300.00,,Mumbai Indians Squad,Balanced
