Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Rickelton (wk),Mumbai Indians Innings,58,32,4,181.25,,Mumbai Indians Squad,Balanced
Rohit,Mumbai Indians Innings,12,5,2,240.00,,Mumbai Indians Squad,Balanced
Will Jacks,Mumbai Indians Innings,29,21,1,138.10,,Mumbai Indians Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,54,28,4,192.86,,Mumbai Indians Squad,Balanced
Tilak Varma,Mumbai Indians Innings,6,5,0,120.00,,Mumbai Indians Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,5,7,0,71.43,,Mumbai Indians Squad,Balanced
Naman Dhir,Mumbai Indians Innings,25,11,2,227.27,,Mumbai Indians Squad,Balanced
Corbin Bosch,Mumbai Indians Innings,20,10,1,200.00,,Mumbai Indians Squad,Balanced
D Chahar,Mumbai Indians Innings,1,1,0,100.00,,Mumbai Indians Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,34,24,2,141.67,,Mumbai Indians Squad,Balanced
Aiden Markram,Lucknow Super Giants Innings,9,11,0,81.82,,Mumbai Indians Squad,Balanced
Nicholas Pooran,Lucknow Super Giants Innings,27,15,3,180.00,,Mumbai Indians Squad,Balanced
Rishabh Pant (c & wk),Lucknow Super Giants Innings,4,2,0,200.00,,Mumbai Indians Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,35,22,2,159.09,,Mumbai Indians Squad,Balanced
David Miller,Lucknow Super Giants Innings,24,16,0,150.00,,Mumbai Indians Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,2,4,0,50.00,,Mumbai Indians Squad,Balanced
Ravi Bishnoi,Lucknow Super Giants Innings,13,14,2,92.86,,Mumbai Indians Squad,Balanced
Avesh Khan,Lucknow Super Giants Innings,0,1,0,0.00,,Mumbai Indians Squad,Balanced
Prince Yadav,Lucknow Super Giants Innings,4,9,0,44.44,,Mumbai Indians Squad,Balanced
Digvesh Singh Rathi,Lucknow Super Giants Innings,1,3,0,33.33,,Mumbai Indians Squad,Balanced
