Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,4,2,0,200.00,,Mumbai Indians Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,67,42,2,159.52,,Mumbai Indians Squad,Balanced
Padikkal,Royal Challengers Bengaluru Innings,37,22,3,168.18,,Mumbai Indians Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,64,32,4,200.00,,Mumbai Indians Squad,Balanced
Livingstone,Royal Challengers Bengaluru Innings,0,2,0,0.00,,Mumbai Indians Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,40,19,4,210.53,,Mumbai Indians Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,1,1,0,100.00,,Mumbai Indians Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,17,9,1,188.89,,Mumbai Indians Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,17,10,0,170.00,,Mumbai Indians Squad,Balanced
Will Jacks,Mumbai Indians Innings,22,18,1,122.22,,Mumbai Indians Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,28,26,0,107.69,,Mumbai Indians Squad,Balanced
Tilak Varma,Mumbai Indians Innings,56,29,4,193.10,,Mumbai Indians Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,42,15,4,280.00,,Mumbai Indians Squad,Balanced
Naman Dhir,Mumbai Indians Innings,11,6,1,183.33,,Mumbai Indians Squad,Balanced
Mitchell Santner,Mumbai Indians Innings,8,4,1,200.00,,Mumbai Indians Squad,Balanced
Deepak Chahar,Mumbai Indians Innings,0,1,0,0.00,,Mumbai Indians Squad,Balanced
Trent Boult,Mumbai Indians Innings,1,1,0,100.00,,Mumbai Indians Squad,Balanced
Jasprit Bumrah,Mumbai Indians Innings,0,1,0,0.00,,Mumbai Indians Squad,Balanced
