Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abhishek Sharma,Sunrisers Hyderabad Innings,40,28,0,142.86,,Mumbai Indians Squad,Balanced
Head,Sunrisers Hyderabad Innings,28,29,0,96.55,,Mumbai Indians Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,2,3,0,66.67,,Mumbai Indians Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,19,21,0,90.48,,Mumbai Indians Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,37,28,2,132.14,,Mumbai Indians Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,18,8,2,225.00,,Mumbai Indians Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,8,4,1,200.00,,Mumbai Indians Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,31,23,0,134.78,,Mumbai Indians Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,26,16,3,162.50,,Mumbai Indians Squad,Balanced
Will Jacks,Mumbai Indians Innings,36,26,2,138.46,,Mumbai Indians Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,26,15,2,173.33,,Mumbai Indians Squad,Balanced
Tilak Varma,Mumbai Indians Innings,21,17,0,123.53,,Mumbai Indians Squad,Balanced
Hardik Pandya (c),Mumbai Indians Innings,21,9,1,233.33,,Mumbai Indians Squad,Balanced
Naman Dhir,Mumbai Indians Innings,0,3,0,0.00,,Mumbai Indians Squad,Balanced
Mitchell Santner,Mumbai Indians Innings,0,1,0,0.00,,Mumbai Indians Squad,Balanced
