Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Priyansh Arya,Punjab Kings Innings,103,42,9,245.24,,Punjab Kings Squad,Balanced
Prabhsimran (wk),Punjab Kings Innings,0,2,0,0.00,,Punjab Kings Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,9,7,1,128.57,,Punjab Kings Squad,Balanced
Stoinis,Punjab Kings Innings,4,7,0,57.14,,Punjab Kings Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,9,7,1,128.57,,Punjab Kings Squad,Balanced
Maxwell,Punjab Kings Innings,1,2,0,50.00,,Punjab Kings Squad,Balanced
Shashank Singh,Punjab Kings Innings,52,36,3,144.44,,Punjab Kings Squad,Balanced
Marco Jansen,Punjab Kings Innings,34,19,2,178.95,,Punjab Kings Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,36,23,0,156.52,,Punjab Kings Squad,Balanced
Devon Conway,Chennai Super Kings Innings,69,49,2,140.82,,Punjab Kings Squad,Balanced
Ruturaj Gaikwad (c),Chennai Super Kings Innings,1,3,0,33.33,,Punjab Kings Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,42,27,2,155.56,,Punjab Kings Squad,Balanced
MS Dhoni (wk),Chennai Super Kings Innings,27,12,3,225.00,,Punjab Kings Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,9,5,1,180.00,,Punjab Kings Squad,Balanced
Vijay Shankar,Chennai Super Kings Innings,2,2,0,100.00,,Punjab Kings Squad,Balanced
