Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Priyansh Arya,Punjab Kings Innings,22,12,1,183.33,,Punjab Kings Squad,Balanced
Prabhsimran,Punjab Kings Innings,30,15,3,200.00,,Punjab Kings Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,0,2,0,0.00,,Punjab Kings Squad,Balanced
Josh Inglis (wk),Punjab Kings Innings,2,6,0,33.33,,Punjab Kings Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,10,9,0,111.11,,Punjab Kings Squad,Balanced
Maxwell,Punjab Kings Innings,7,10,0,70.00,,Punjab Kings Squad,Balanced
Suryansh Shedge,Punjab Kings Innings,4,4,0,100.00,,Punjab Kings Squad,Balanced
Shashank Singh,Punjab Kings Innings,18,17,1,105.88,,Punjab Kings Squad,Balanced
Marco Jansen,Punjab Kings Innings,1,2,0,50.00,,Punjab Kings Squad,Balanced
Xavier Bartlett,Punjab Kings Innings,11,15,0,73.33,,Punjab Kings Squad,Balanced
Arshdeep Singh,Punjab Kings Innings,1,1,0,100.00,,Punjab Kings Squad,Balanced
Quinton de Kock (wk),Kolkata Knight Riders Innings,2,4,0,50.00,,Punjab Kings Squad,Balanced
Sunil Narine,Kolkata Knight Riders Innings,5,4,0,125.00,,Punjab Kings Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,17,17,1,100.00,,Punjab Kings Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,37,28,1,132.14,,Punjab Kings Squad,Balanced
Venkatesh Iyer,Kolkata Knight Riders Innings,7,4,0,175.00,,Punjab Kings Squad,Balanced
Rinku Singh,Kolkata Knight Riders Innings,2,9,0,22.22,,Punjab Kings Squad,Balanced
Andre Russell,Kolkata Knight Riders Innings,17,11,2,154.55,,Punjab Kings Squad,Balanced
Ramandeep Singh,Kolkata Knight Riders Innings,0,1,0,0.00,,Punjab Kings Squad,Balanced
Harshit Rana,Kolkata Knight Riders Innings,3,6,0,50.00,,Punjab Kings Squad,Balanced
Vaibhav Arora,Kolkata Knight Riders Innings,0,7,0,0.00,,Punjab Kings Squad,Balanced
Anrich Nortje,Kolkata Knight Riders Innings,0,0,0,0.00,,Punjab Kings Squad,Balanced
