Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Priyansh Arya,Punjab Kings Innings,22,15,1,146.67,,Punjab Kings Squad,Balanced
Prabhsimran,Punjab Kings Innings,33,17,1,194.12,,Punjab Kings Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,6,10,0,60.00,,Punjab Kings Squad,Balanced
Josh Inglis (wk),Punjab Kings Innings,29,17,1,170.59,,Punjab Kings Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,5,6,0,83.33,,Punjab Kings Squad,Balanced
Shashank Singh,Punjab Kings Innings,31,33,0,93.94,,Punjab Kings Squad,Balanced
Stoinis,Punjab Kings Innings,1,2,0,50.00,,Punjab Kings Squad,Balanced
Marco Jansen,Punjab Kings Innings,25,20,2,125.00,,Punjab Kings Squad,Balanced
Philip Salt,Royal Challengers Bengaluru Innings,1,3,0,33.33,,Punjab Kings Squad,Balanced
Virat Kohli,Royal Challengers Bengaluru Innings,73,54,1,135.19,,Punjab Kings Squad,Balanced
Devdutt Padikkal,Royal Challengers Bengaluru Innings,61,35,4,174.29,,Punjab Kings Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,12,13,0,92.31,,Punjab Kings Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,11,8,1,137.50,,Punjab Kings Squad,Balanced
