Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Yashasvi Jaiswal,Rajasthan Royals Innings,67,45,5,148.89,,Punjab Kings Squad,Balanced
Samson (c & wk),Rajasthan Royals Innings,38,26,0,146.15,,Punjab Kings Squad,Balanced
Riyan Parag,Rajasthan Royals Innings,43,25,3,172.00,,Punjab Kings Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,12,7,0,171.43,,Punjab Kings Squad,Balanced
Hetmyer,Rajasthan Royals Innings,20,12,1,166.67,,Punjab Kings Squad,Balanced
Dhruv Jurel,Rajasthan Royals Innings,13,5,1,260.00,,Punjab Kings Squad,Balanced
Priyansh Arya,Punjab Kings Innings,0,1,0,0.00,,Punjab Kings Squad,Balanced
Prabhsimran Singh (wk),Punjab Kings Innings,17,16,0,106.25,,Punjab Kings Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,10,5,0,200.00,,Punjab Kings Squad,Balanced
Marcus Stoinis,Punjab Kings Innings,1,7,0,14.29,,Punjab Kings Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,62,41,3,151.22,,Punjab Kings Squad,Balanced
Glenn Maxwell,Punjab Kings Innings,30,21,1,142.86,,Punjab Kings Squad,Balanced
Shashank Singh,Punjab Kings Innings,10,13,0,76.92,,Punjab Kings Squad,Balanced
Suryansh Shedge,Punjab Kings Innings,2,4,0,50.00,,Punjab Kings Squad,Balanced
Marco Jansen,Punjab Kings Innings,3,6,0,50.00,,Punjab Kings Squad,Balanced
Arshdeep Singh,Punjab Kings Innings,1,5,0,20.00,,Punjab Kings Squad,Balanced
Lockie Ferguson,Punjab Kings Innings,4,1,0,400.00,,Punjab Kings Squad,Balanced
