Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,37,17,3,217.65,,Royal Challengers Bengaluru Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,22,14,2,157.14,,Royal Challengers Bengaluru Squad,Balanced
Padikkal,Royal Challengers Bengaluru Innings,1,8,0,12.50,,Royal Challengers Bengaluru Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,25,23,1,108.70,,Royal Challengers Bengaluru Squad,Balanced
Livingstone,Royal Challengers Bengaluru Innings,4,6,0,66.67,,Royal Challengers Bengaluru Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,3,11,0,27.27,,Royal Challengers Bengaluru Squad,Balanced
Krunal Pandya,Royal Challengers Bengaluru Innings,18,18,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,37,20,4,185.00,,Royal Challengers Bengaluru Squad,Balanced
Bhuvneshwar,Royal Challengers Bengaluru Innings,1,4,0,25.00,,Royal Challengers Bengaluru Squad,Balanced
Faf du Plessis,Delhi Capitals Innings,2,7,0,28.57,,Royal Challengers Bengaluru Squad,Balanced
Jake Fraser-McGurk,Delhi Capitals Innings,7,6,0,116.67,,Royal Challengers Bengaluru Squad,Balanced
Abishek Porel,Delhi Capitals Innings,7,7,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
KL Rahul (wk),Delhi Capitals Innings,93,53,6,175.47,,Royal Challengers Bengaluru Squad,Balanced
Axar Patel (c),Delhi Capitals Innings,15,11,0,136.36,,Royal Challengers Bengaluru Squad,Balanced
Tristan Stubbs,Delhi Capitals Innings,38,23,1,165.22,,Royal Challengers Bengaluru Squad,Balanced
