Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,14,13,1,107.69,,Royal Challengers Bengaluru Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,7,6,0,116.67,,Royal Challengers Bengaluru Squad,Balanced
Padikkal,Royal Challengers Bengaluru Innings,4,3,0,133.33,,Royal Challengers Bengaluru Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,12,12,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
Livingstone,Royal Challengers Bengaluru Innings,54,40,5,135.00,,Royal Challengers Bengaluru Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,33,21,1,157.14,,Royal Challengers Bengaluru Squad,Balanced
Krunal Pandya,Royal Challengers Bengaluru Innings,5,5,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,32,18,2,177.78,,Royal Challengers Bengaluru Squad,Balanced
Bhuvneshwar,Royal Challengers Bengaluru Innings,1,2,0,50.00,,Royal Challengers Bengaluru Squad,Balanced
Sai Sudharsan,Gujarat Titans Innings,49,36,1,136.11,,Royal Challengers Bengaluru Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,14,14,1,100.00,,Royal Challengers Bengaluru Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,73,39,6,187.18,,Royal Challengers Bengaluru Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,30,18,3,166.67,,Royal Challengers Bengaluru Squad,Balanced
