Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,4,4,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,1,3,0,33.33,,Royal Challengers Bengaluru Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,23,18,1,127.78,,Royal Challengers Bengaluru Squad,Balanced
Livingstone,Royal Challengers Bengaluru Innings,4,6,0,66.67,,Royal Challengers Bengaluru Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,2,7,0,28.57,,Royal Challengers Bengaluru Squad,Balanced
Krunal Pandya,Royal Challengers Bengaluru Innings,1,2,0,50.00,,Royal Challengers Bengaluru Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,50,26,3,192.31,,Royal Challengers Bengaluru Squad,Balanced
Manoj Bhandage,Royal Challengers Bengaluru Innings,1,4,0,25.00,,Royal Challengers Bengaluru Squad,Balanced
Bhuvneshwar,Royal Challengers Bengaluru Innings,8,13,0,61.54,,Royal Challengers Bengaluru Squad,Balanced
Yash Dayal,Royal Challengers Bengaluru Innings,0,1,0,0.00,,Royal Challengers Bengaluru Squad,Balanced
Hazlewood,Royal Challengers Bengaluru Innings,0,1,0,0.00,,Royal Challengers Bengaluru Squad,Balanced
Priyansh Arya,Punjab Kings Innings,16,11,1,145.45,,Royal Challengers Bengaluru Squad,Balanced
Prabhsimran Singh,Punjab Kings Innings,13,9,0,144.44,,Royal Challengers Bengaluru Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,7,10,0,70.00,,Royal Challengers Bengaluru Squad,Balanced
Josh Inglis (wk),Punjab Kings Innings,14,17,0,82.35,,Royal Challengers Bengaluru Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,33,19,3,173.68,,Royal Challengers Bengaluru Squad,Balanced
Shashank Singh,Punjab Kings Innings,1,5,0,20.00,,Royal Challengers Bengaluru Squad,Balanced
Marcus Stoinis,Punjab Kings Innings,7,2,1,350.00,,Royal Challengers Bengaluru Squad,Balanced
