Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Phil Salt,Royal Challengers Bengaluru Innings,26,23,0,113.04,,Royal Challengers Bengaluru Squad,Balanced
Kohli,Royal Challengers Bengaluru Innings,70,42,2,166.67,,Royal Challengers Bengaluru Squad,Balanced
Padikkal,Royal Challengers Bengaluru Innings,50,27,3,185.19,,Royal Challengers Bengaluru Squad,Balanced
Tim David,Royal Challengers Bengaluru Innings,23,15,1,153.33,,Royal Challengers Bengaluru Squad,Balanced
Rajat Patidar (c),Royal Challengers Bengaluru Innings,1,3,0,33.33,,Royal Challengers Bengaluru Squad,Balanced
Jitesh Sharma (wk),Royal Challengers Bengaluru Innings,20,10,0,200.00,,Royal Challengers Bengaluru Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,49,19,3,257.89,,Royal Challengers Bengaluru Squad,Balanced
Vaibhav Suryavanshi,Rajasthan Royals Innings,16,12,2,133.33,,Royal Challengers Bengaluru Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,28,22,1,127.27,,Royal Challengers Bengaluru Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,22,10,2,220.00,,Royal Challengers Bengaluru Squad,Balanced
Dhruv Jurel (wk),Rajasthan Royals Innings,47,34,3,138.24,,Royal Challengers Bengaluru Squad,Balanced
Shimron Hetmyer,Rajasthan Royals Innings,11,8,0,137.50,,Royal Challengers Bengaluru Squad,Balanced
Shubham Dubey,Rajasthan Royals Innings,12,7,1,171.43,,Royal Challengers Bengaluru Squad,Balanced
Jofra Archer,Rajasthan Royals Innings,0,1,0,0.00,,Royal Challengers Bengaluru Squad,Balanced
Wanindu Hasaranga,Rajasthan Royals Innings,1,3,0,33.33,,Royal Challengers Bengaluru Squad,Balanced
Tushar Deshpande,Rajasthan Royals Innings,1,2,0,50.00,,Royal Challengers Bengaluru Squad,Balanced
Fazalhaq Farooqi,Rajasthan Royals Innings,2,2,0,100.00,,Royal Challengers Bengaluru Squad,Balanced
