Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Yashasvi Jaiswal,Rajasthan Royals Innings,4,3,0,133.33,,Rajasthan Royals Squad,Balanced
Samson,Rajasthan Royals Innings,20,16,1,125.00,,Rajasthan Royals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,81,36,5,225.00,,Rajasthan Royals Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,37,28,2,132.14,,Rajasthan Royals Squad,Balanced
Dhruv Jurel (wk),Rajasthan Royals Innings,3,7,0,42.86,,Rajasthan Royals Squad,Balanced
W Hasaranga,Rajasthan Royals Innings,4,5,0,80.00,,Rajasthan Royals Squad,Balanced
Hetmyer,Rajasthan Royals Innings,19,16,1,118.75,,Rajasthan Royals Squad,Balanced
Jofra Archer,Rajasthan Royals Innings,0,2,0,0.00,,Rajasthan Royals Squad,Balanced
Kumar Kartikeya,Rajasthan Royals Innings,1,1,0,100.00,,Rajasthan Royals Squad,Balanced
M Theekshana,Rajasthan Royals Innings,2,4,0,50.00,,Rajasthan Royals Squad,Balanced
Tushar Deshpande,Rajasthan Royals Innings,1,2,0,50.00,,Rajasthan Royals Squad,Balanced
Rachin Ravindra,Chennai Super Kings Innings,0,4,0,0.00,,Rajasthan Royals Squad,Balanced
Rahul Tripathi,Chennai Super Kings Innings,23,19,1,121.05,,Rajasthan Royals Squad,Balanced
Ruturaj Gaikwad (c),Chennai Super Kings Innings,63,44,1,143.18,,Rajasthan Royals Squad,Balanced
Shivam Dube,Chennai Super Kings Innings,18,10,2,180.00,,Rajasthan Royals Squad,Balanced
Vijay Shankar,Chennai Super Kings Innings,9,6,1,150.00,,Rajasthan Royals Squad,Balanced
Ravindra Jadeja,Chennai Super Kings Innings,32,22,1,145.45,,Rajasthan Royals Squad,Balanced
MS Dhoni (wk),Chennai Super Kings Innings,16,11,1,145.45,,Rajasthan Royals Squad,Balanced
Jamie Overton,Chennai Super Kings Innings,11,4,1,275.00,,Rajasthan Royals Squad,Balanced
