Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Sai Sudharsan,Gujarat Titans Innings,39,30,1,130.00,,Rajasthan Royals Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,84,50,4,168.00,,Rajasthan Royals Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,50,26,4,192.31,,Rajasthan Royals Squad,Balanced
Washington Sundar,Gujarat Titans Innings,13,8,1,162.50,,Rajasthan Royals Squad,Balanced
Rahul Tewatia,Gujarat Titans Innings,9,4,1,225.00,,Rajasthan Royals Squad,Balanced
Shahrukh Khan,Gujarat Titans Innings,5,2,0,250.00,,Rajasthan Royals Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,70,40,2,175.00,,Rajasthan Royals Squad,Balanced
Vaibhav Suryavanshi,Rajasthan Royals Innings,101,38,11,265.79,,Rajasthan Royals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,4,2,0,200.00,,Rajasthan Royals Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,32,15,2,213.33,,Rajasthan Royals Squad,Balanced
