Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Yashasvi Jaiswal,Rajasthan Royals Innings,29,24,2,120.83,,Rajasthan Royals Squad,Balanced
Samson,Rajasthan Royals Innings,13,11,0,118.18,,Rajasthan Royals Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,25,15,3,166.67,,Rajasthan Royals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,8,9,0,88.89,,Rajasthan Royals Squad,Balanced
W Hasaranga,Rajasthan Royals Innings,4,4,0,100.00,,Rajasthan Royals Squad,Balanced
Dhruv Jurel (wk),Rajasthan Royals Innings,33,28,0,117.86,,Rajasthan Royals Squad,Balanced
Shubham Dubey,Rajasthan Royals Innings,9,12,0,75.00,,Rajasthan Royals Squad,Balanced
Hetmyer,Rajasthan Royals Innings,7,8,0,87.50,,Rajasthan Royals Squad,Balanced
Jofra Archer,Rajasthan Royals Innings,16,7,2,228.57,,Rajasthan Royals Squad,Balanced
M Theekshana,Rajasthan Royals Innings,1,1,0,100.00,,Rajasthan Royals Squad,Balanced
Tushar Deshpande,Rajasthan Royals Innings,2,1,0,200.00,,Rajasthan Royals Squad,Balanced
Moeen Ali,Kolkata Knight Riders Innings,5,12,0,41.67,,Rajasthan Royals Squad,Balanced
Quinton de Kock (wk),Kolkata Knight Riders Innings,97,61,6,159.02,,Rajasthan Royals Squad,Balanced
Ajinkya Rahane (c),Kolkata Knight Riders Innings,18,15,1,120.00,,Rajasthan Royals Squad,Balanced
Angkrish Raghuvanshi,Kolkata Knight Riders Innings,22,17,0,129.41,,Rajasthan Royals Squad,Balanced
