Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Mitchell Marsh,Lucknow Super Giants Innings,4,6,0,66.67,,Rajasthan Royals Squad,Balanced
Markram,Lucknow Super Giants Innings,66,45,3,146.67,,Rajasthan Royals Squad,Balanced
Pooran,Lucknow Super Giants Innings,11,8,0,137.50,,Rajasthan Royals Squad,Balanced
Pant (c & wk),Lucknow Super Giants Innings,3,9,0,33.33,,Rajasthan Royals Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,50,34,1,147.06,,Rajasthan Royals Squad,Balanced
David Miller,Lucknow Super Giants Innings,7,8,0,87.50,,Rajasthan Royals Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,30,10,4,300.00,,Rajasthan Royals Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,74,52,4,142.31,,Rajasthan Royals Squad,Balanced
Vaibhav Suryavanshi,Rajasthan Royals Innings,34,20,3,170.00,,Rajasthan Royals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,8,7,1,114.29,,Rajasthan Royals Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,39,26,2,150.00,,Rajasthan Royals Squad,Balanced
Dhruv Jurel (wk),Rajasthan Royals Innings,6,5,0,120.00,,Rajasthan Royals Squad,Balanced
Shimron Hetmyer,Rajasthan Royals Innings,12,7,0,171.43,,Rajasthan Royals Squad,Balanced
Shubham Dubey,Rajasthan Royals Innings,3,3,0,100.00,,Rajasthan Royals Squad,Balanced
