Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abhishek Sharma,Sunrisers Hyderabad Innings,18,16,0,112.50,,Sunrisers Hyderabad Squad,Balanced
Head,Sunrisers Hyderabad Innings,8,5,0,160.00,,Sunrisers Hyderabad Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,17,14,0,121.43,,Sunrisers Hyderabad Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,31,34,0,91.18,,Sunrisers Hyderabad Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,27,19,1,142.11,,Sunrisers Hyderabad Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,18,14,0,128.57,,Sunrisers Hyderabad Squad,Balanced
Kamindu Mendis,Sunrisers Hyderabad Innings,1,5,0,20.00,,Sunrisers Hyderabad Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,22,9,1,244.44,,Sunrisers Hyderabad Squad,Balanced
Simarjeet Singh,Sunrisers Hyderabad Innings,0,2,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Shami,Sunrisers Hyderabad Innings,6,2,0,300.00,,Sunrisers Hyderabad Squad,Balanced
Sai Sudharsan,Gujarat Titans Innings,5,9,0,55.56,,Sunrisers Hyderabad Squad,Balanced
Shubman Gill (c),Gujarat Titans Innings,61,43,0,141.86,,Sunrisers Hyderabad Squad,Balanced
Jos Buttler (wk),Gujarat Titans Innings,0,3,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Washington Sundar,Gujarat Titans Innings,49,29,2,168.97,,Sunrisers Hyderabad Squad,Balanced
Sherfane Rutherford,Gujarat Titans Innings,35,16,1,218.75,,Sunrisers Hyderabad Squad,Balanced
