Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Head,Sunrisers Hyderabad Innings,47,28,3,167.86,,Sunrisers Hyderabad Squad,Balanced
Abhishek Sharma,Sunrisers Hyderabad Innings,6,6,0,100.00,,Sunrisers Hyderabad Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,0,1,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,32,28,0,114.29,,Sunrisers Hyderabad Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,26,17,1,152.94,,Sunrisers Hyderabad Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,36,13,5,276.92,,Sunrisers Hyderabad Squad,Balanced
Abhinav Manohar,Sunrisers Hyderabad Innings,2,6,0,33.33,,Sunrisers Hyderabad Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,18,4,3,450.00,,Sunrisers Hyderabad Squad,Balanced
Harshal Patel,Sunrisers Hyderabad Innings,12,11,0,109.09,,Sunrisers Hyderabad Squad,Balanced
Shami,Sunrisers Hyderabad Innings,1,3,0,33.33,,Sunrisers Hyderabad Squad,Balanced
Simarjeet Singh,Sunrisers Hyderabad Innings,3,4,0,75.00,,Sunrisers Hyderabad Squad,Balanced
Mitchell Marsh,Lucknow Super Giants Innings,52,31,2,167.74,,Sunrisers Hyderabad Squad,Balanced
Aiden Markram,Lucknow Super Giants Innings,1,4,0,25.00,,Sunrisers Hyderabad Squad,Balanced
Nicholas Pooran,Lucknow Super Giants Innings,70,26,6,269.23,,Sunrisers Hyderabad Squad,Balanced
Rishabh Pant (c & wk),Lucknow Super Giants Innings,15,15,1,100.00,,Sunrisers Hyderabad Squad,Balanced
Ayush Badoni,Lucknow Super Giants Innings,6,6,0,100.00,,Sunrisers Hyderabad Squad,Balanced
David Miller,Lucknow Super Giants Innings,13,7,0,185.71,,Sunrisers Hyderabad Squad,Balanced
Abdul Samad,Lucknow Super Giants Innings,22,8,2,275.00,,Sunrisers Hyderabad Squad,Balanced
