Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Head,Sunrisers Hyderabad Innings,0,4,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Abhishek Sharma,Sunrisers Hyderabad Innings,8,8,1,100.00,,Sunrisers Hyderabad Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,1,4,0,25.00,,Sunrisers Hyderabad Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,2,6,0,33.33,,Sunrisers Hyderabad Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,71,44,2,161.36,,Sunrisers Hyderabad Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,12,14,0,85.71,,Sunrisers Hyderabad Squad,Balanced
Abhinav Manohar,Sunrisers Hyderabad Innings,43,37,3,116.22,,Sunrisers Hyderabad Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,1,2,0,50.00,,Sunrisers Hyderabad Squad,Balanced
Harshal Patel,Sunrisers Hyderabad Innings,1,1,0,100.00,,Sunrisers Hyderabad Squad,Balanced
Ryan Rickelton (wk),Mumbai Indians Innings,11,8,0,137.50,,Sunrisers Hyderabad Squad,Balanced
Rohit Sharma,Mumbai Indians Innings,70,46,3,152.17,,Sunrisers Hyderabad Squad,Balanced
Will Jacks,Mumbai Indians Innings,22,19,1,115.79,,Sunrisers Hyderabad Squad,Balanced
Suryakumar Yadav,Mumbai Indians Innings,40,19,2,210.53,,Sunrisers Hyderabad Squad,Balanced
Tilak Varma,Mumbai Indians Innings,2,2,0,100.00,,Sunrisers Hyderabad Squad,Balanced
