Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Priyansh Arya,Punjab Kings Innings,36,13,4,276.92,,Sunrisers Hyderabad Squad,Balanced
Prabhsimran (wk),Punjab Kings Innings,42,23,1,182.61,,Sunrisers Hyderabad Squad,Balanced
Shreyas Iyer (c),Punjab Kings Innings,82,36,6,227.78,,Sunrisers Hyderabad Squad,Balanced
Nehal Wadhera,Punjab Kings Innings,27,22,1,122.73,,Sunrisers Hyderabad Squad,Balanced
Shashank Singh,Punjab Kings Innings,2,3,0,66.67,,Sunrisers Hyderabad Squad,Balanced
Maxwell,Punjab Kings Innings,3,7,0,42.86,,Sunrisers Hyderabad Squad,Balanced
Stoinis,Punjab Kings Innings,34,11,4,309.09,,Sunrisers Hyderabad Squad,Balanced
Marco Jansen,Punjab Kings Innings,5,5,0,100.00,,Sunrisers Hyderabad Squad,Balanced
Travis Head,Sunrisers Hyderabad Innings,66,37,3,178.38,,Sunrisers Hyderabad Squad,Balanced
Abhishek Sharma,Sunrisers Hyderabad Innings,141,55,10,256.36,,Sunrisers Hyderabad Squad,Balanced
Heinrich Klaasen (wk),Sunrisers Hyderabad Innings,21,14,1,150.00,,Sunrisers Hyderabad Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,9,6,0,150.00,,Sunrisers Hyderabad Squad,Balanced
