Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Abhishek Sharma,Sunrisers Hyderabad Innings,24,11,0,218.18,,Sunrisers Hyderabad Squad,Balanced
Head,Sunrisers Hyderabad Innings,67,31,3,216.13,,Sunrisers Hyderabad Squad,Balanced
Ishan Kishan,Sunrisers Hyderabad Innings,106,47,6,225.53,,Sunrisers Hyderabad Squad,Balanced
Nitish Reddy,Sunrisers Hyderabad Innings,30,15,1,200.00,,Sunrisers Hyderabad Squad,Balanced
Klaasen (wk),Sunrisers Hyderabad Innings,34,14,1,242.86,,Sunrisers Hyderabad Squad,Balanced
Aniket Verma,Sunrisers Hyderabad Innings,7,3,1,233.33,,Sunrisers Hyderabad Squad,Balanced
Abhinav Manohar,Sunrisers Hyderabad Innings,0,1,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Cummins (c),Sunrisers Hyderabad Innings,0,1,0,0.00,,Sunrisers Hyderabad Squad,Balanced
Yashasvi Jaiswal,Rajasthan Royals Innings,1,5,0,20.00,,Sunrisers Hyderabad Squad,Balanced
Sanju Samson,Rajasthan Royals Innings,66,37,4,178.38,,Sunrisers Hyderabad Squad,Balanced
Riyan Parag (c),Rajasthan Royals Innings,4,2,0,200.00,,Sunrisers Hyderabad Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,11,8,0,137.50,,Sunrisers Hyderabad Squad,Balanced
Dhruv Jurel (wk),Rajasthan Royals Innings,70,35,6,200.00,,Sunrisers Hyderabad Squad,Balanced
Shimron Hetmyer,Rajasthan Royals Innings,42,23,4,182.61,,Sunrisers Hyderabad Squad,Balanced
Shubham Dubey,Rajasthan Royals Innings,34,11,4,309.09,,Sunrisers Hyderabad Squad,Balanced
Jofra Archer,Rajasthan Royals Innings,1,1,0,100.00,,Sunrisers Hyderabad Squad,Balanced
